timestamp,hostname,cpu_percent,mem_total_gb,mem_dispo_gb,mem_percent,disk_root_percent
2025-11-19T11:38:20.177948,Dell-G3-Msommer,6.4,7.55,1.95,74.1,22.9
2025-11-19T11:38:23.186425,Dell-G3-Msommer,6.7,7.55,1.96,74.0,22.9
2025-11-19T11:38:26.189167,Dell-G3-Msommer,6.4,7.55,1.97,74.0,22.9
2025-11-19T11:38:29.194329,Dell-G3-Msommer,7.6,7.55,1.95,74.1,22.9
2025-11-19T11:38:32.198407,Dell-G3-Msommer,6.9,7.55,1.95,74.1,22.9
2025-11-19T11:38:35.202449,Dell-G3-Msommer,6.0,7.55,1.95,74.1,22.9
2025-11-19T11:38:38.206504,Dell-G3-Msommer,5.7,7.55,1.96,74.0,22.9
2025-11-19T11:38:41.210977,Dell-G3-Msommer,6.1,7.55,1.96,74.0,22.9
2025-11-19T11:38:44.214860,Dell-G3-Msommer,6.0,7.55,1.96,74.1,22.9
2025-11-19T11:38:47.218937,Dell-G3-Msommer,6.3,7.55,1.97,74.0,22.9
